dead_line,description,state_enum
2022-02-19,Complete the puzzle,COMPLETED
2022-02-26,Solve the mystery,COMPLETED
2022-11-09,Reach the finish line,IN_PROCESS
2023-04-16,Reach the finish line,COMPLETED
2023-06-24,Reach the finish line,COMPLETED
2023-10-19,Complete the puzzle,COMPLETED
2023-09-16,Collect all the items,IN_PROCESS
2023-02-20,Solve the mystery,COMPLETED
2022-03-01,Solve the mystery,COMPLETED
2023-04-16,Solve the mystery,PENDING
2023-04-11,Complete the puzzle,PENDING
2022-01-27,Reach the finish line,PENDING
2022-03-15,Reach the finish line,IN_PROCESS
2023-02-14,Solve the mystery,COMPLETED
2023-08-19,Solve the mystery,IN_PROCESS
2022-07-30,Collect all the items,COMPLETED
2022-07-04,Collect all the items,COMPLETED
2022-01-06,Collect all the items,COMPLETED
2023-02-20,Reach the finish line,IN_PROCESS
2022-03-24,Solve the mystery,COMPLETED
2022-02-04,Complete the puzzle,IN_PROCESS
2022-10-25,Defeat the enemy,COMPLETED
2022-12-03,Collect all the items,PENDING
2022-01-16,Reach the finish line,COMPLETED
2023-03-17,Solve the mystery,PENDING
2022-07-01,Defeat the enemy,IN_PROCESS
2022-11-09,Reach the finish line,PENDING
2022-02-05,Reach the finish line,IN_PROCESS
2022-04-15,Reach the finish line,COMPLETED
2022-07-19,Complete the puzzle,IN_PROCESS
2022-12-02,Solve the mystery,IN_PROCESS
2022-12-11,Solve the mystery,COMPLETED
2023-06-21,Complete the puzzle,COMPLETED
2023-01-14,Solve the mystery,COMPLETED
2023-06-28,Reach the finish line,IN_PROCESS
2023-03-27,Solve the mystery,PENDING
2023-05-23,Complete the puzzle,PENDING
2022-06-18,Reach the finish line,COMPLETED
2023-06-17,Reach the finish line,PENDING
2023-04-28,Complete the puzzle,PENDING
2023-07-10,Defeat the enemy,IN_PROCESS
2022-09-21,Complete the puzzle,IN_PROCESS
2023-01-04,Solve the mystery,IN_PROCESS
2023-09-19,Reach the finish line,COMPLETED
2022-02-21,Reach the finish line,COMPLETED
2023-04-27,Solve the mystery,COMPLETED
2022-08-27,Complete the puzzle,PENDING
2022-12-21,Collect all the items,COMPLETED
2022-12-07,Collect all the items,COMPLETED
2023-07-15,Solve the mystery,COMPLETED
2021-12-03,Solve the mystery,IN_PROCESS
2023-05-19,Solve the mystery,IN_PROCESS
2022-03-20,Reach the finish line,PENDING
2023-08-23,Reach the finish line,PENDING
2022-02-04,Complete the puzzle,IN_PROCESS
2022-03-24,Collect all the items,PENDING
2023-08-04,Solve the mystery,PENDING
2023-03-30,Collect all the items,COMPLETED
2022-08-24,Collect all the items,COMPLETED
2021-12-08,Reach the finish line,IN_PROCESS
2023-10-15,Reach the finish line,PENDING
2023-11-08,Reach the finish line,PENDING
2023-01-18,Solve the mystery,COMPLETED
2023-03-14,Reach the finish line,IN_PROCESS
2023-09-05,Defeat the enemy,IN_PROCESS
2022-08-14,Defeat the enemy,IN_PROCESS
2022-06-26,Defeat the enemy,COMPLETED
2023-11-22,Reach the finish line,PENDING
2023-06-20,Defeat the enemy,PENDING
2022-02-12,Solve the mystery,PENDING
2022-06-23,Complete the puzzle,COMPLETED
2022-06-14,Reach the finish line,IN_PROCESS
2023-08-30,Defeat the enemy,COMPLETED
2022-12-01,Defeat the enemy,IN_PROCESS
2023-06-25,Solve the mystery,IN_PROCESS
2023-11-05,Collect all the items,COMPLETED
2023-09-25,Solve the mystery,PENDING
2022-04-30,Complete the puzzle,IN_PROCESS
2023-04-27,Collect all the items,PENDING
2022-11-27,Solve the mystery,COMPLETED
2023-06-02,Solve the mystery,PENDING
2021-12-08,Defeat the enemy,PENDING
2021-12-10,Reach the finish line,PENDING
2023-01-06,Complete the puzzle,COMPLETED
2023-01-23,Solve the mystery,COMPLETED
2021-12-20,Reach the finish line,COMPLETED
2023-05-20,Defeat the enemy,COMPLETED
2023-10-20,Defeat the enemy,IN_PROCESS
2022-08-18,Defeat the enemy,PENDING
2022-04-14,Defeat the enemy,PENDING
2023-07-22,Solve the mystery,IN_PROCESS
2022-07-08,Collect all the items,PENDING
2023-01-25,Collect all the items,IN_PROCESS
2023-09-29,Defeat the enemy,COMPLETED
2022-02-09,Solve the mystery,COMPLETED
2021-12-19,Solve the mystery,COMPLETED
2022-03-13,Solve the mystery,PENDING
2022-02-08,Solve the mystery,PENDING
2022-06-05,Defeat the enemy,PENDING
2022-08-04,Defeat the enemy,PENDING
2023-11-19,Solve the mystery,IN_PROCESS
2022-04-11,Solve the mystery,PENDING
2023-06-23,Complete the puzzle,PENDING
2022-03-17,Collect all the items,PENDING
2022-10-06,Complete the puzzle,IN_PROCESS
2022-02-05,Defeat the enemy,PENDING
2022-06-28,Solve the mystery,COMPLETED
2023-09-22,Reach the finish line,IN_PROCESS
2022-03-28,Complete the puzzle,IN_PROCESS
2022-07-02,Defeat the enemy,IN_PROCESS
2023-08-23,Complete the puzzle,IN_PROCESS
2022-12-07,Reach the finish line,COMPLETED
2023-05-15,Defeat the enemy,IN_PROCESS
2023-11-10,Reach the finish line,COMPLETED
2022-11-04,Collect all the items,PENDING
2023-04-18,Defeat the enemy,COMPLETED
2022-07-27,Complete the puzzle,PENDING
2022-12-27,Solve the mystery,COMPLETED
2022-10-08,Solve the mystery,IN_PROCESS
2023-01-12,Defeat the enemy,IN_PROCESS
2023-07-28,Defeat the enemy,PENDING
2022-08-12,Solve the mystery,IN_PROCESS
